,comp_0,comp_1
Reactions,-0.048,0.001
Overall,-0.036,0.0
BallControl,-0.214,-0.051
Penalties,-0.163,-0.146
GKPositioning,0.199,-0.051
SlidingTackle,-0.149,0.411
StandingTackle,-0.161,0.412
ShortPassing,-0.181,0.012
Jumping,-0.041,0.057
Interceptions,-0.151,0.381
Finishing,-0.2,-0.258
GKKicking,0.193,-0.051
HeadingAccuracy,-0.172,0.119
Aggression,-0.154,0.213
LongPassing,-0.168,0.049
GKHandling,0.199,-0.052
Volleys,-0.188,-0.191
Vision,-0.13,-0.116
LongShots,-0.217,-0.174
GKReflexes,0.211,-0.055
GKDiving,0.208,-0.054
Positioning,-0.226,-0.181
SkillMoves,-0.008,-0.005
Dribbling,-0.234,-0.119
FKAccuracy,-0.185,-0.1
Marking,-0.154,0.349
Balance,-0.117,-0.091
Curve,-0.208,-0.128
Acceleration,-0.14,-0.099
Crossing,-0.215,-0.045
Stamina,-0.174,0.068
Agility,-0.139,-0.122
ShotPower,-0.196,-0.105
SprintSpeed,-0.136,-0.084
Strength,-0.023,0.119
