,comp_0,comp_1,comp_2
Reactions,-0.048,0.001,0.245
Overall,-0.036,0.0,0.2
BallControl,-0.214,-0.051,0.038
Penalties,-0.163,-0.146,0.018
GKPositioning,0.199,-0.051,0.314
SlidingTackle,-0.149,0.411,0.083
StandingTackle,-0.161,0.412,0.099
ShortPassing,-0.181,0.012,0.117
Jumping,-0.041,0.057,0.01
Interceptions,-0.151,0.381,0.17
Finishing,-0.2,-0.258,0.006
GKKicking,0.193,-0.051,0.301
HeadingAccuracy,-0.172,0.119,-0.131
Aggression,-0.154,0.213,0.101
LongPassing,-0.168,0.049,0.223
GKHandling,0.199,-0.052,0.309
Volleys,-0.188,-0.191,0.079
Vision,-0.13,-0.116,0.263
LongShots,-0.217,-0.174,0.153
GKReflexes,0.211,-0.055,0.328
GKDiving,0.208,-0.054,0.322
Positioning,-0.226,-0.181,0.019
SkillMoves,-0.008,-0.005,0.002
Dribbling,-0.234,-0.119,0.005
FKAccuracy,-0.185,-0.1,0.222
Marking,-0.154,0.349,0.077
Balance,-0.117,-0.091,-0.06
Curve,-0.208,-0.128,0.185
Acceleration,-0.14,-0.099,-0.135
Crossing,-0.215,-0.045,0.13
Stamina,-0.174,0.068,-0.007
Agility,-0.139,-0.122,-0.013
ShotPower,-0.196,-0.105,0.103
SprintSpeed,-0.136,-0.084,-0.144
Strength,-0.023,0.119,0.082
