,comp_0,comp_1,comp_2,comp_3
Reactions,-0.048,0.001,0.245,0.054
Overall,-0.036,0.0,0.2,0.048
BallControl,-0.214,-0.051,0.038,0.002
Penalties,-0.163,-0.146,0.018,0.181
GKPositioning,0.199,-0.051,0.314,-0.046
SlidingTackle,-0.149,0.411,0.083,-0.131
StandingTackle,-0.161,0.412,0.099,-0.096
ShortPassing,-0.181,0.012,0.117,-0.012
Jumping,-0.041,0.057,0.01,0.043
Interceptions,-0.151,0.381,0.17,-0.073
Finishing,-0.2,-0.258,0.006,0.178
GKKicking,0.193,-0.051,0.301,-0.044
HeadingAccuracy,-0.172,0.119,-0.131,0.388
Aggression,-0.154,0.213,0.101,0.177
LongPassing,-0.168,0.049,0.223,-0.072
GKHandling,0.199,-0.052,0.309,-0.047
Volleys,-0.188,-0.191,0.079,0.162
Vision,-0.13,-0.116,0.263,-0.046
LongShots,-0.217,-0.174,0.153,0.131
GKReflexes,0.211,-0.055,0.328,-0.049
GKDiving,0.208,-0.054,0.322,-0.051
Positioning,-0.226,-0.181,0.019,0.045
SkillMoves,-0.008,-0.005,0.002,-0.003
Dribbling,-0.234,-0.119,0.005,-0.094
FKAccuracy,-0.185,-0.1,0.222,-0.017
Marking,-0.154,0.349,0.077,-0.06
Balance,-0.117,-0.091,-0.06,-0.371
Curve,-0.208,-0.128,0.185,-0.065
Acceleration,-0.14,-0.099,-0.135,-0.308
Crossing,-0.215,-0.045,0.13,-0.214
Stamina,-0.174,0.068,-0.007,-0.041
Agility,-0.139,-0.122,-0.013,-0.313
ShotPower,-0.196,-0.105,0.103,0.205
SprintSpeed,-0.136,-0.084,-0.144,-0.252
Strength,-0.023,0.119,0.082,0.388
